playerID,yearID,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB
altheaa01,2017,26,PHI,NL,107,412,372,58,101,24,5,19,65,5,4,32,104,0.272,0.34,0.516,0.856,124,192,12,7,0,1,2
altuvjo01,2017,27,HOU,AL,153,662,590,112,204,39,4,24,81,32,6,58,84,0.346,0.41,0.547,0.957,164,323,19,9,1,4,3
alvarhe01,2017,27,PHI,NL,3,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
alvarjo02,2017,28,LAA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarpe01,2017,30,BAL,AL,14,34,32,4,10,1,0,1,4,0,0,2,10,0.313,0.353,0.438,0.79,112,14,0,0,0,0,0
amarial01,2017,28,COL,NL,96,176,168,22,40,10,0,3,19,1,0,7,38,0.238,0.269,0.351,0.62,52,59,5,0,1,0,0
anderbr04,2017,29,CHC,NL,6,8,7,0,1,0,0,0,1,0,0,1,3,0.143,0.25,0.143,0.393,7,1,0,0,0,0,0
anderbr06,2017,24,MIA,NL,25,95,84,11,22,7,1,0,8,0,0,10,28,0.262,0.337,0.369,0.706,91,31,1,0,0,1,0
anderch01,2017,29,MIL,NL,24,55,52,1,7,1,0,0,3,0,0,0,29,0.135,0.135,0.154,0.288,-25,8,1,0,3,0,0
anderdr02,2017,23,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderti01,2017,24,CHW,AL,146,606,587,72,151,26,4,17,56,15,1,13,162,0.257,0.276,0.402,0.679,80,236,13,3,2,1,0
anderty01,2017,27,COL,NL,17,33,26,1,1,0,0,0,0,0,0,1,17,0.038,0.074,0.038,0.113,-71,1,1,0,6,0,0
andruel01,2017,28,TEX,AL,158,689,643,100,191,44,4,20,88,25,10,38,101,0.297,0.337,0.471,0.808,108,303,18,3,1,4,0
andujmi01,2017,22,NYY,AL,5,8,7,0,4,2,0,0,4,1,0,1,0,0.571,0.625,0.857,1.482,286,6,0,0,0,0,0
aokino01,2017,35,HOU,AL,70,224,202,28,55,12,1,2,19,5,2,15,29,0.272,0.323,0.371,0.694,93,75,11,2,1,4,1
aokino01,2017,35,TOR,AL,12,34,32,4,9,1,0,3,8,0,0,1,5,0.281,0.294,0.594,0.888,124,19,0,0,0,1,0
aokino01,2017,35,NYM,NL,27,116,102,16,29,7,1,0,8,5,0,13,10,0.284,0.371,0.373,0.743,99,38,1,1,0,0,0
aquinja01,2017,24,BAL,AL,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
aranovi01,2017,22,PHI,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
archech01,2017,28,TBR,AL,3,8,8,1,2,0,0,0,1,0,0,0,3,0.25,0.25,0.25,0.5,39,2,1,0,0,0,0
